ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
315;SALDANHA DA GAMA;470;CENTRO;2024;14/09/2024;04:30:00;SAO LEOPOLDO;SALDANHA DA GAMA, 470, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.764030048144768, -51.14892287435092;;;;;;;;;;;;;;
316;SAO JOAO;601;CENTRO;2024;14/09/2024;00:00:00;SAO LEOPOLDO;SAO JOAO, 601, CENTRO, SAO LEOPOLDO;VEICULO;sábado;-29.764623,-51.150609;;;;;;;;;;;;;;
317;LACY PEREIRA FIGUEIRO;438;SANTA TERESA;2024;18/09/2024;07:00:00;SAO LEOPOLDO;LACY PEREIRA FIGUEIRO, 438, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.788086288269668, -51.13832370788989;;;;;;;;;;;;;;
318;IVOTI;24;CAMPINA;2024;19/09/2024;14:00:00;SAO LEOPOLDO;IVOTI, 24, CAMPINA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.744325,-51.158939;;;;;;;;;;;;;;
319;SAO JOAO;601;CENTRO;2024;20/09/2024;21:30:00;SAO LEOPOLDO;SAO JOAO, 601, CENTRO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.764623,-51.150609;;;;;;;;;;;;;;
320;DES ESPERIDIAO DE LIMA MEDEIROS;0;CENTRO;2024;20/09/2024;19:30:00;SAO LEOPOLDO;DES ESPERIDIAO DE LIMA MEDEIROS, 0, CENTRO, SAO LEOPOLDO;VEICULO;sexta-feira;-29.768827249034224, -51.14027283202166;;;;;;;;;;;;;;
321;MAUA;3786;SANTA TERESA;2024;21/09/2024;18:00:00;SAO LEOPOLDO;MAUA, 3786, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;sábado;-29.789694,-51.138257;;;;;;;;;;;;;;
322;JOAO CORREA;2210;VICENTINA;2024;22/09/2024;16:00:00;SAO LEOPOLDO;JOAO CORREA, 2210, VICENTINA, SAO LEOPOLDO;PEDESTRE;domingo;-29.772501,-51.156738;;;;;;;;;;;;;;
323;JOAO C HOFFMANN;0;JARDIM AMERICA;2024;24/09/2024;13:00:00;SAO LEOPOLDO;JOAO C HOFFMANN, 0, JARDIM AMERICA, SAO LEOPOLDO;VEICULO;terça-feira;-29.729533826368392, -51.169086653421914;;;;;;;;;;;;;;
324;SAO CAETANO;616;CENTRO;2024;25/09/2024;21:00:00;SAO LEOPOLDO;SAO CAETANO, 616, CENTRO, SAO LEOPOLDO;VEICULO;quarta-feira;-29.770249,-51.147926;;;;;;;;;;;;;;
325;SAO JOAO;531;CENTRO;2024;25/09/2024;10:30:00;SAO LEOPOLDO;SAO JOAO, 531, CENTRO, SAO LEOPOLDO;VEICULO;quarta-feira;-29.764004,-51.150927;;;;;;;;;;;;;;
326;LINDOLFO COLLOR;27;CENTRO;2024;28/09/2024;14:00:00;SAO LEOPOLDO;LINDOLFO COLLOR, 27, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.767491775058538, -51.14059591667998;;;;;;;;;;;;;;
327;JOAO NEVES DA FONTOURA;702;CENTRO;2024;29/09/2024;01:00:00;SAO LEOPOLDO;JOAO NEVES DA FONTOURA, 702, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.764895283998964, -51.14734002138892;;;;;;;;;;;;;;
328;MAUA;377;DUQUE DE CAXIAS;2024;29/09/2024;21:00:00;SAO LEOPOLDO;MAUA, 377, DUQUE DE CAXIAS, SAO LEOPOLDO;PEDESTRE;domingo;-29.795627,-51.134755;;;;;;;;;;;;;;
329;OSCAR UEBEL;1071;CAMPESTRE;2024;29/09/2024;09:00:00;SAO LEOPOLDO;OSCAR UEBEL, 1071, CAMPESTRE, SAO LEOPOLDO;PEDESTRE;domingo;-29.777530,-51.097122;;;;;;;;;;;;;;
330;PRESIDENTE LUCENA;1167;SCHARLAU;2024;29/09/2024;16:00:00;SAO LEOPOLDO;PRESIDENTE LUCENA, 1167, SCHARLAU, SAO LEOPOLDO;PEDESTRE;domingo;-29.7296612084776, -51.156009345516814;;;;;;;;;;;;;;
331;PRESIDENTE LUCENA;1505;SCHARLAU;2024;29/09/2024;15:30:00;SAO LEOPOLDO;PRESIDENTE LUCENA, 1505, SCHARLAU, SAO LEOPOLDO;PEDESTRE;domingo;-29.727130,-51.159158;;;;;;;;;;;;;;
332;PRESIDENTE LUCENA;777;SCHARLAU;2024;30/09/2024;20:00:00;SAO LEOPOLDO;PRESIDENTE LUCENA, 777, SCHARLAU, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.732484,-51.153048;;;;;;;;;;;;;;
333;GASPAR SILVEIRA MARTINS;523;SANTOS DUMONT;2024;01/10/2024;05:00:00;SAO LEOPOLDO;GASPAR SILVEIRA MARTINS, 523, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.73272291081264, -51.143164363725276;;;;;;;;;;;;;;
334;PINHEIRO MACHADO;55;MORRO DO ESPELHO;2024;01/10/2024;22:00:00;SAO LEOPOLDO;PINHEIRO MACHADO, 55, MORRO DO ESPELHO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.771593111093882, -51.142452596308914;;;;;;;;;;;;;;
335;SENADOR SALGADO FILHO;4095;SANTOS DUMONT;2024;03/10/2024;20:30:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 4095, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;quinta-feira;-29.722417,-51.148315;;;;;;;;;;;;;;
336;BRASIL;439;CENTRO;2024;04/10/2024;01:30:00;SAO LEOPOLDO;BRASIL, 439, CENTRO, SAO LEOPOLDO;COMERCIO;sexta-feira;-29.761514770929995, -51.14571511852793;;;;;;;;;;;;;;
337;INDEPENDENCIA;702;CENTRO;2024;04/10/2024;23:00:00;SAO LEOPOLDO;INDEPENDENCIA, 702, CENTRO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.765702650665517, -51.14569099255338;;;;;;;;;;;;;;
338;ARNALDO PEREIRA DA SILVA;3909;SANTOS DUMONT;2024;06/10/2024;22:00:00;SAO LEOPOLDO;ARNALDO PEREIRA DA SILVA, 3909, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;domingo;-29.72454890658125, -51.14830915106047;;;;;;;;;;;;;;
339;HENRIQUE BIER;3451;ARROIO DA MANTEIGA;2024;08/10/2024;16:00:00;SAO LEOPOLDO;HENRIQUE BIER, 3451, ARROIO DA MANTEIGA, SAO LEOPOLDO;COMERCIO;terça-feira;-29.731944,-51.178550;;;;;;;;;;;;;;
340;MAUA;588;SANTOS DUMONT;2024;09/10/2024;20:30:00;SAO LEOPOLDO;MAUA, 588, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.743486559703555, -51.14406973202242;;;;;;;;;;;;;;
341;PEDRO MARCELINO DA SILVA;95;SCHARLAU;2024;12/10/2024;17:30:00;SAO LEOPOLDO;PEDRO MARCELINO DA SILVA, 95, SCHARLAU, SAO LEOPOLDO;VEICULO;sábado;-29.730228,-51.159203;;;;;;;;;;;;;;
342;DONA ANA NERI;267;CAMPINA;2024;13/10/2024;08:30:00;SAO LEOPOLDO;DONA ANA NERI, 267, CAMPINA, SAO LEOPOLDO;PEDESTRE;domingo;-29.748288755552718, -51.1540160925571;;;;;;;;;;;;;;
343;OSVALDO ARANHA;934;CENTRO;2024;13/10/2024;20:00:00;SAO LEOPOLDO;OSVALDO ARANHA, 934, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.76398622121645, -51.14995373202164;;;;;;;;;;;;;;
344;TENENTE ANTONIO JOAO;54;SANTOS DUMONT;2024;13/10/2024;17:30:00;SAO LEOPOLDO;TENENTE ANTONIO JOAO, 54, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;domingo;-29.734548,-51.144689;;;;;;;;;;;;;;
345;INTEGRACAO;1386;FEITORIA;2024;14/10/2024;23:00:00;SAO LEOPOLDO;INTEGRACAO, 1386, FEITORIA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.756142560873027, -51.09797814551567;;;;;;;;;;;;;;
346;JAGUARI;0;SCHARLAU;2024;14/10/2024;19:30:00;SAO LEOPOLDO;JAGUARI, 0, SCHARLAU, SAO LEOPOLDO;VEICULO;segunda-feira;-29.73310382407645, -51.15573951668127;;;;;;;;;;;;;;
347;CAXIAS DO SUL;707;RIO DOS SINOS;2024;16/10/2024;05:00:00;SAO LEOPOLDO;CAXIAS DO SUL, 707, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.752957,-51.149971;;;;;;;;;;;;;;
348;JACOB WINGERT;18;SANTOS DUMONT;2024;16/10/2024;22:00:00;SAO LEOPOLDO;JACOB WINGERT, 18, SANTOS DUMONT, SAO LEOPOLDO;RESIDENCIA;quarta-feira;-29.735040726961103, -51.14413316372451;;;;;;;;;;;;;;
349;LEOPOLDO WASUN;0;SANTOS DUMONT;2024;16/10/2024;22:00:00;SAO LEOPOLDO;LEOPOLDO WASUN, 0, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.742403,-51.134848;;;;;;;;;;;;;;
350;NEREU RAMOS;358;DUQUE DE CAXIAS;2024;16/10/2024;20:00:00;SAO LEOPOLDO;NEREU RAMOS, 358, DUQUE DE CAXIAS, SAO LEOPOLDO;VEICULO;quarta-feira;-29.798298,-51.123163;;;;;;;;;;;;;;
351;OSVALDO DE ANDRADE;103;DUQUE DE CAXIAS;2024;18/10/2024;10:00:00;SAO LEOPOLDO;OSVALDO DE ANDRADE, 103, DUQUE DE CAXIAS, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.79913083427337, -51.13472164551442;;;;;;;;;;;;;;
352;SAO JOAO;601;CENTRO;2024;21/10/2024;05:00:00;SAO LEOPOLDO;SAO JOAO, 601, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.764623,-51.150609;;;;;;;;;;;;;;
353;SAO JOAO;294;CENTRO;2024;21/10/2024;21:00:00;SAO LEOPOLDO;SAO JOAO, 294, CENTRO, SAO LEOPOLDO;VEICULO;segunda-feira;-29.761909,-51.151376;;;;;;;;;;;;;;
354;NOBREGA;212;CRISTO REI;2024;22/10/2024;13:30:00;SAO LEOPOLDO;NOBREGA, 212, CRISTO REI, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.780217,-51.146244;;;;;;;;;;;;;;
355;BR 116;0;CRISTO REI;2024;24/10/2024;16:30:00;SAO LEOPOLDO;BR 116, 0, CRISTO REI, SAO LEOPOLDO;VEICULO;quinta-feira;-29.777418,-51.155781;;;;;;;;;;;;;;
356;SAO JOAQUIM;1200;CENTRO;2024;25/10/2024;14:00:00;SAO LEOPOLDO;SAO JOAQUIM, 1200, CENTRO, SAO LEOPOLDO;COMERCIO;sexta-feira;-29.768923601066906, -51.143216816679995;;;;;;;;;;;;;;
357;JOAO ALBERTO;135;VICENTINA;2024;25/10/2024;23:30:00;SAO LEOPOLDO;JOAO ALBERTO, 135, VICENTINA, SAO LEOPOLDO;VEICULO;sexta-feira;-29.773364,-51.158028;;;;;;;;;;;;;;
358;JOAO CORREA;345;SAO JOSE;2024;26/10/2024;20:30:00;SAO LEOPOLDO;JOAO CORREA, 345, SAO JOSE, SAO LEOPOLDO;COMERCIO;sábado;-29.769427,-51.138869;;;;;;;;;;;;;;
359;DOIS;0;SANTOS DUMONT;2024;28/10/2024;08:00:00;SAO LEOPOLDO;DOIS, 0, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.747186,-51.132974;;;;;;;;;;;;;;
360;FEITORIA;350;SAO JOSE;2024;29/10/2024;17:30:00;SAO LEOPOLDO;FEITORIA, 350, SAO JOSE, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.769668,-51.132061;;;;;;;;;;;;;;
361;VICENTINA MARIA FIDELIS;1041;VICENTINA;2024;29/10/2024;06:00:00;SAO LEOPOLDO;VICENTINA MARIA FIDELIS, 1041, VICENTINA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.774974250174143, -51.171105201337994;;;;;;;;;;;;;;
362;PAROBE;463;SCHARLAU;2024;29/10/2024;22:00:00;SAO LEOPOLDO;PAROBE, 463, SCHARLAU, SAO LEOPOLDO;VEICULO;terça-feira;-29.728754,-51.152510;;;;;;;;;;;;;;
363;FRANCISCO AILSON REICHERT;133;SCHARLAU;2024;01/11/2024;08:30:00;SAO LEOPOLDO;FRANCISCO AILSON REICHERT, 133, SCHARLAU, SAO LEOPOLDO;VEICULO;sexta-feira;-29.728187807930965, -51.16374159949194;;;;;;;;;;;;;;
364;NOVA PETROPOLIS;113;CAMPESTRE;2024;02/11/2024;14:00:00;SAO LEOPOLDO;NOVA PETROPOLIS, 113, CAMPESTRE, SAO LEOPOLDO;VEICULO;sábado;-29.778913,-51.116678;;;;;;;;;;;;;;
365;DOUTOR HILLEBRAND;1239;RIO DOS SINOS;2024;05/11/2024;17:00:00;SAO LEOPOLDO;DOUTOR HILLEBRAND, 1239, RIO DOS SINOS, SAO LEOPOLDO;COMERCIO;terça-feira;-29.746746,-51.147196;;;;;;;;;;;;;;
366;GOVERNADOR ROBERTO SILVEIRA;380;SANTOS DUMONT;2024;05/11/2024;14:00:00;SAO LEOPOLDO;GOVERNADOR ROBERTO SILVEIRA, 380, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.738392,-51.145162;;;;;;;;;;;;;;
367;MARQUES BARBACENA;361;DUQUE DE CAXIAS;2024;05/11/2024;09:00:00;SAO LEOPOLDO;MARQUES BARBACENA, 361, DUQUE DE CAXIAS, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.79822408532164, -51.131678845514415;;;;;;;;;;;;;;
368;OSVALDO ARANHA;690;SAO MIGUEL;2024;05/11/2024;21:00:00;SAO LEOPOLDO;OSVALDO ARANHA, 690, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.76403375113404, -51.15255173673069;;;;;;;;;;;;;;
369;THOMAZ EDISON;2289;SCHARLAU;2024;06/11/2024;12:00:00;SAO LEOPOLDO;THOMAZ EDISON, 2289, SCHARLAU, SAO LEOPOLDO;VEICULO;quarta-feira;-29.735294643066936, -51.15465532324319;;;;;;;;;;;;;;
370;DOUTOR HILLEBRAND;162;RIO DOS SINOS;2024;08/11/2024;23:00:00;SAO LEOPOLDO;DOUTOR HILLEBRAND, 162, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.756608939067334, -51.1469221925553;;;;;;;;;;;;;;
371;PAROBE;4365;ARROIO DA MANTEIGA;2024;09/11/2024;17:00:00;SAO LEOPOLDO;PAROBE, 4365, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;sábado;-29.706709,-51.186198;;;;;;;;;;;;;;
372;BRASIL CAMORETO GAL;43;SANTA TERESA;2024;12/11/2024;20:00:00;SAO LEOPOLDO;BRASIL CAMORETO GAL, 43, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.786919007083142, -51.139593418527184;;;;;;;;;;;;;;
373;JOAO CORREA;123;SAO JOSE;2024;14/11/2024;04:00:00;SAO LEOPOLDO;JOAO CORREA, 123, SAO JOSE, SAO LEOPOLDO;VEICULO;quinta-feira;-29.76966171386651, -51.13569328969236;;;;;;;;;;;;;;
374;DAS BROMELIAS;13;SANTOS DUMONT;2024;16/11/2024;03:00:00;SAO LEOPOLDO;DAS BROMELIAS, 13, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;sábado;-29.73720471127618, -51.13932480318725;;;;;;;;;;;;;;
375;SALDANHA DA GAMA;723;CENTRO;2024;18/11/2024;20:00:00;SAO LEOPOLDO;SALDANHA DA GAMA, 723, CENTRO, SAO LEOPOLDO;VEICULO;segunda-feira;-29.766297,-51.148656;;;;;;;;;;;;;;
376;MAUA;306;RIO DOS SINOS;2024;19/11/2024;14:30:00;SAO LEOPOLDO;MAUA, 306, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.754087946301805, -51.143229062705316;;;;;;;;;;;;;;
377;DILCEU ELIAS DE MOURA;45;ARROIO DA MANTEIGA;2024;19/11/2024;13:30:00;SAO LEOPOLDO;DILCEU ELIAS DE MOURA, 45, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;terça-feira;-29.735270394431307, -51.17173737619978;;;;;;;;;;;;;;
378;VINTE E CINCO;229;SANTOS DUMONT;2024;20/11/2024;20:00:00;SAO LEOPOLDO;VINTE E CINCO, 229, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.735867491150607, -51.14110677435184;;;;;;;;;;;;;;
379;LEOPOLDO WASUN;0;SANTOS DUMONT;2024;20/11/2024;17:00:00;SAO LEOPOLDO;LEOPOLDO WASUN, 0, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.742403,-51.134848;;;;;;;;;;;;;;
380;MAUA;2148;SANTOS DUMONT;2024;22/11/2024;21:00:00;SAO LEOPOLDO;MAUA, 2148, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.74106689520518, -51.14364700605242;;;;;;;;;;;;;;
381;JOAO CORREA;0;SAO JOSE;2024;22/11/2024;03:30:00;SAO LEOPOLDO;JOAO CORREA, 0, SAO JOSE, SAO LEOPOLDO;VEICULO;sexta-feira;-29.769958,-51.134929;;;;;;;;;;;;;;
382;SANTO ANGELO;481;SANTA TERESA;2024;23/11/2024;20:00:00;SAO LEOPOLDO;SANTO ANGELO, 481, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;sábado;-29.791759,-51.134181;;;;;;;;;;;;;;
383;DA PAZ;55;PADRE REUS;2024;23/11/2024;21:30:00;SAO LEOPOLDO;DA PAZ, 55, PADRE REUS, SAO LEOPOLDO;VEICULO;sábado;-29.782693,-51.146212;;;;;;;;;;;;;;
384;CACADOR;12;ARROIO DA MANTEIGA;2024;27/11/2024;06:00:00;SAO LEOPOLDO;CACADOR, 12, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.717620821778894, -51.1880651608587;;;;;;;;;;;;;;
385;DOM JOAO BECKER;90;SAO MIGUEL;2024;27/11/2024;08:30:00;SAO LEOPOLDO;DOM JOAO BECKER, 90, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.763663021096313, -51.16157718784469;;;;;;;;;;;;;;
386;UNISINOS;950;CRISTO REI;2024;28/11/2024;19:00:00;SAO LEOPOLDO;UNISINOS, 950, CRISTO REI, SAO LEOPOLDO;VEICULO;quinta-feira;-29.792084,-51.153613;;;;;;;;;;;;;;
387;FRANCISCO FERNANDES;380;DUQUE DE CAXIAS;2024;01/12/2024;12:00:00;SAO LEOPOLDO;FRANCISCO FERNANDES, 380, DUQUE DE CAXIAS, SAO LEOPOLDO;RESIDENCIA;domingo;-29.795225,-51.139213;;;;;;;;;;;;;;
388;JOAO CORREA;2250;VICENTINA;2024;02/12/2024;13:00:00;SAO LEOPOLDO;JOAO CORREA, 2250, VICENTINA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.772309,-51.157100;;;;;;;;;;;;;;
389;JULIANA FORTUNA;434;CAMPESTRE;2024;02/12/2024;20:00:00;SAO LEOPOLDO;JULIANA FORTUNA, 434, CAMPESTRE, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.765873,-51.112716;;;;;;;;;;;;;;
390;THEODOMIRO PORTO DA FONSECA;799;FIAO;2024;02/12/2024;03:00:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 799, FIAO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.77633056273943, -51.14844997435073;;;;;;;;;;;;;;
391;MUCIO TEIXEIRA;213;SANTOS DUMONT;2024;06/12/2024;00:00:00;SAO LEOPOLDO;MUCIO TEIXEIRA, 213, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;sexta-feira;-29.738264,-51.143180;;;;;;;;;;;;;;
392;BENKENSTEIN;197;CENTRO;2024;07/12/2024;17:30:00;SAO LEOPOLDO;BENKENSTEIN, 197, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.771371,-51.152458;;;;;;;;;;;;;;
393;FELIPE CAMARAO;100;SCHARLAU;2024;09/12/2024;13:00:00;SAO LEOPOLDO;FELIPE CAMARAO, 100, SCHARLAU, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.72840797507867, -51.15171517435228;;;;;;;;;;;;;;
394;INDEPENDENCIA;0;CENTRO;2024;10/12/2024;14:00:00;SAO LEOPOLDO;INDEPENDENCIA, 0, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.760647,-51.147371;;;;;;;;;;;;;;
395;IANDUI;0;CAMPINA;2024;12/12/2024;17:00:00;SAO LEOPOLDO;IANDUI, 0, CAMPINA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.750576,-51.167313;;;;;;;;;;;;;;
396;IMPERATRIZ LEOPOLDINA;3069;SAO JOSE;2024;13/12/2024;21:00:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 3069, SAO JOSE, SAO LEOPOLDO;VEICULO;sexta-feira;-29.759400288952172, -51.11194873202181;;;;;;;;;;;;;;
397;JOSE BONIFACIO;1000;CENTRO;2024;13/12/2024;15:30:00;SAO LEOPOLDO;JOSE BONIFACIO, 1000, CENTRO, SAO LEOPOLDO;VEICULO;sexta-feira;-29.769018,-51.142418;;;;;;;;;;;;;;
398;CAMPO BOM;0;CAMPINA;2024;15/12/2024;19:30:00;SAO LEOPOLDO;CAMPO BOM, 0, CAMPINA, SAO LEOPOLDO;PEDESTRE;domingo;-29.746752,-51.160342;;;;;;;;;;;;;;
399;JOAO XXIII;72;SAO JOSE;2024;16/12/2024;10:30:00;SAO LEOPOLDO;JOAO XXIII, 72, SAO JOSE, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.769075,-51.135045;;;;;;;;;;;;;;
400;MAUA;3902;SANTA TERESA;2024;16/12/2024;07:00:00;SAO LEOPOLDO;MAUA, 3902, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.788320375047956, -51.13936483202082;;;;;;;;;;;;;;
401;GUIA LOPES;56;CAMPINA;2024;18/12/2024;10:30:00;SAO LEOPOLDO;GUIA LOPES, 56, CAMPINA, SAO LEOPOLDO;RESIDENCIA;quarta-feira;-29.745251,-51.155090;;;;;;;;;;;;;;
402;JOAO IGNACIO DA SILVEIRA;2076;RIO DOS SINOS;2024;19/12/2024;11:00:00;SAO LEOPOLDO;JOAO IGNACIO DA SILVEIRA, 2076, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;quinta-feira;-29.75208816707537, -51.1505174925563;;;;;;;;;;;;;;
403;MAUA;3786;SANTA TERESA;2024;20/12/2024;21:00:00;SAO LEOPOLDO;MAUA, 3786, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.789694,-51.138257;;;;;;;;;;;;;;
404;LINDOLFO COLLOR;0;SAO MIGUEL;2024;20/12/2024;20:00:00;SAO LEOPOLDO;LINDOLFO COLLOR, 0, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.768149,-51.143453;;;;;;;;;;;;;;
405;ADELINO FERRAZ;1;SAO JOSE;2024;21/12/2024;23:00:00;SAO LEOPOLDO;ADELINO FERRAZ, 1, SAO JOSE, SAO LEOPOLDO;PEDESTRE;sábado;-29.767469235645642, -51.13046606085703;;;;;;;;;;;;;;
406;ALBINO TIMM;748;FEITORIA;2024;22/12/2024;06:00:00;SAO LEOPOLDO;ALBINO TIMM, 748, FEITORIA, SAO LEOPOLDO;PEDESTRE;domingo;-29.760180696946172, -51.09223155022532;;;;;;;;;;;;;;
407;OSVALDO ARANHA;68;CENTRO;2024;24/12/2024;04:30:00;SAO LEOPOLDO;OSVALDO ARANHA, 68, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.762369,-51.141398;;;;;;;;;;;;;;
408;DOUTOR HILLEBRAND;698;RIO DOS SINOS;2024;26/12/2024;03:30:00;SAO LEOPOLDO;DOUTOR HILLEBRAND, 698, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.751641,-51.147685;;;;;;;;;;;;;;
409;THOMAZ EDISON;3265;CAMPINA;2024;26/12/2024;13:00:00;SAO LEOPOLDO;THOMAZ EDISON, 3265, CAMPINA, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.753315660611854, -51.1576797320221;;;;;;;;;;;;;;
410;CORONEL ATALIBIO TAURINO DE REZENDE;1399;CAMPINA;2024;26/12/2024;17:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1399, CAMPINA, SAO LEOPOLDO;RESIDENCIA;quinta-feira;-29.741815790595066, -51.1579053608579;;;;;;;;;;;;;;
411;MANOEL MOURA;558;CAMPESTRE;2024;26/12/2024;21:00:00;SAO LEOPOLDO;MANOEL MOURA, 558, CAMPESTRE, SAO LEOPOLDO;VEICULO;quinta-feira;-29.771012,-51.112203;;;;;;;;;;;;;;
412;BRASIL;0;SAO MIGUEL;2024;28/12/2024;00:30:00;SAO LEOPOLDO;BRASIL, 0, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;sábado;-29.763314,-51.154564;;;;;;;;;;;;;;
413;LINDOMAR DE BORBA;0;SAO MIGUEL;2024;31/12/2024;21:00:00;SAO LEOPOLDO;LINDOMAR DE BORBA, 0, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.759076,-51.156294;;;;;;;;;;;;;;
414;JOAO CORREA;1735;CENTRO;2025;02/01/2025;09:00:00;SAO LEOPOLDO;JOAO CORREA, 1735, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.772021,-51.152697;;;;;;;;;;;;;;
415;INTEGRACAO;1383;FEITORIA;2025;03/01/2025;19:00:00;SAO LEOPOLDO;INTEGRACAO, 1383, FEITORIA, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.756187,-51.098295;;;;;;;;;;;;;;
416;JOAO STREIT;350;SCHARLAU;2025;03/01/2025;20:30:00;SAO LEOPOLDO;JOAO STREIT, 350, SCHARLAU, SAO LEOPOLDO;VEICULO;sexta-feira;-29.731571,-51.152147;;;;;;;;;;;;;;
417;PEDRO AMERICO;118;SAO JOSE;2025;03/01/2025;13:00:00;SAO LEOPOLDO;PEDRO AMERICO, 118, SAO JOSE, SAO LEOPOLDO;VEICULO;sexta-feira;-29.769144,-51.132993;;;;;;;;;;;;;;
418;SENADOR SALGADO FILHO;2981;SANTOS DUMONT;2025;04/01/2025;17:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 2981, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;sábado;-29.732289,-51.149328;;;;;;;;;;;;;;
419;MAUA;4510;SANTA TERESA;2025;05/01/2025;19:30:00;SAO LEOPOLDO;MAUA, 4510, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;domingo;-29.792242,-51.135720;;;;;;;;;;;;;;
420;DAS AMERICAS;272;DUQUE DE CAXIAS;2025;06/01/2025;20:00:00;SAO LEOPOLDO;DAS AMERICAS, 272, DUQUE DE CAXIAS, SAO LEOPOLDO;COMERCIO;segunda-feira;-29.797148,-51.132467;;;;;;;;;;;;;;
421;PAROBE;464;SCHARLAU;2025;08/01/2025;14:30:00;SAO LEOPOLDO;PAROBE, 464, SCHARLAU, SAO LEOPOLDO;COMERCIO;quarta-feira;-29.729003,-51.152752;;;;;;;;;;;;;;
