ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
53;CAXIAS DO SUL;0;RIO DOS SINOS;2024;03/02/2024;21:30:00;SAO LEOPOLDO;CAXIAS DO SUL, 0, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;sábado;-29.753072,-51.149898;;;;;;;;;;;;;;
54;MARAJO;30;SANTOS DUMONT;2024;04/02/2024;16:00:00;SAO LEOPOLDO;MARAJO, 30, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;domingo;-29.742438,-51.149894;;;;;;;;;;;;;;
55;PRIMEIRO DE MARCO;821;CENTRO;2024;04/02/2024;22:00:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 821, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.769227813987897, -51.14661480318618;;;;;;;;;;;;;;
56;NEREU RAMOS;11;FAZENDA SAO BORJA;2024;04/02/2024;02:00:00;SAO LEOPOLDO;NEREU RAMOS, 11, FAZENDA SAO BORJA, SAO LEOPOLDO;VEICULO;domingo;-29.795362,-51.123104;;;;;;;;;;;;;;
57;UM;62;ARROIO DA MANTEIGA;2024;06/02/2024;21:00:00;SAO LEOPOLDO;UM, 62, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.728523,-51.187315;;;;;;;;;;;;;;
58;THOMAZ EDISON;2676;SCHARLAU;2024;06/02/2024;20:30:00;SAO LEOPOLDO;THOMAZ EDISON, 2676, SCHARLAU, SAO LEOPOLDO;VEICULO;terça-feira;-29.732681207820953, -51.155285432022865;;;;;;;;;;;;;;
59;DOM JOAO BECKER;665;CENTRO;2024;07/02/2024;00:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 665, CENTRO, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.760571,-51.148664;;;;;;;;;;;;;;
60;DORALINA SILVEIRA DIAS;259;SANTA TERESA;2024;07/02/2024;23:30:00;SAO LEOPOLDO;DORALINA SILVEIRA DIAS, 259, SANTA TERESA, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.785966,-51.137373;;;;;;;;;;;;;;
61;EMILIO CRISTIANO BUHLER;273;SCHARLAU;2024;07/02/2024;08:30:00;SAO LEOPOLDO;EMILIO CRISTIANO BUHLER, 273, SCHARLAU, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.734725,-51.156985;;;;;;;;;;;;;;
62;JOAO CORREA;657;SAO JOSE;2024;07/02/2024;12:00:00;SAO LEOPOLDO;JOAO CORREA, 657, SAO JOSE, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.769460513922837, -51.14150966760377;;;;;;;;;;;;;;
